year,name,affiliation,country,role,Accomodation Chair,Exhibition Chair,Finance Chair,Local Arrangement Chair,Local Organization Chair,Local Organization Committee,Organization Chair,PacificVAST Workshop Chair,Paper Chair,Poster Chair,Program Chair,Program Committee,Publication Chair,Publicity Chair,Registration Chair,Sponsorship Chair,Steering Committee,Student Volunteer Chair,Symposium Chair,Visual Storytelling Contest Chair,Visualization Notes Chair,Visualization Notes Committee,Webmaster & Design Chair
2017,Hamish Carr,University of Leeds,GB,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2015,Hank Childs,University of Oregon,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2016,Hank Childs,University of Oregon,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2017,Hank Childs,University of Oregon,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2015,Hanqi Guo,Argonne National Laboratory,US,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2016,Hanqi Guo,Argonne National Laboratory,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2016,Hanqi Guo,Peking University,CN,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2017,Hanqi Guo,Argonne National Laboratory,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2017,Hanqi Guo,Argonne National Laboratory,US,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2009,Hans Hagan,University of Kaiserslautern,DE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2013,Hans Hagen,University of Kaiserslautern,DE,Symposium Chair,,,,,,,,,,,,,,,,,,,1,,,,
2014,Hans Hagen,University of Kaiserslautern,DE,Program Chair,,,,,,,,,,,1,,,,,,,,,,,,
2008,Hans-Christian Hege,ZIB,DE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2008,Han-Wei Shen,Ohio State University,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2009,Han-Wei Shen,The Ohio State University,US,Program Chair,,,,,,,,,,,1,,,,,,,,,,,,
2010,Han-Wei Shen,The Ohio State University,US,Program Chair,,,,,,,,,,,1,,,,,,,,,,,,
2011,Han-Wei Shen,Ohio State University,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2012,Han-Wei Shen,Ohio State University,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2013,Han-Wei Shen,Ohio State University,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
